"Length17" "Length45" "Length80" "Length115"
"1" 12.07 22.57 28.9 34.14
"2" 11.68 23.23 30.22 34.01
"3" 11.81 22.83 32.57 35.05
"4" 12.98 23.88 31.26 35.52
"5" 10.47 22.89 30.69 34.79
"6" 11.86 22.19 30.74 34.88
"7" 11.35 23.45 31.1 37.03
"8" 12.8 26.98 35.48 38.25
"9" 11.97 22.67 29.27 35.09
"10" 12.62 23.54 28.62 32.96
"11" 11.52 23.74 31.69 35.78
"12" 11.08 21.14 28.31 33.56
"13" 11.77 26.16 33.02 37.96
"14" 12.04 24.52 30.89 36.17
"15" 11.21 20.68 28.4 35.52
"16" 10.97 24.3 34.21 40.62
"17" 11.83 25.79 32.45 38.21
"18" 12.2 23.65 32.7 37.73
"19" 11.77 22.62 28.13 33.06
"20" 11.73 24.18 31.34 36.75
"21" 12.98 25.38 32.87 37.76
"22" 14.37 26.69 35.87 42.43
"23" 12.68 23.8 33.99 40.5
"24" 14.85 28.64 37.29 43.04
"25" 12.95 24.41 32.26 37.69
"26" 14.48 26.04 33.45 42.03
"27" 14.09 23.64 33.44 39.48
"28" 13.3 26.57 35.65 42.55
"29" 12.2 19.37 25.82 32.84
"30" 14.07 24.98 32.51 39.88
"31" 13.84 25.27 32.34 38.62
"32" 12.91 21.86 29.24 35.8
"33" 13.17 22.34 32.94 41.52
"34" 14.24 26.25 34.12 40.83
"35" 13.14 24.24 32.42 38.29
"36" 13.74 24.73 32.97 37.02
"37" 14.11 26.81 36.05 42.25
"38" 14.22 25.56 32.5 39.09
"39" 15.1 28.82 38.21 39.85
"40" 12.42 22.52 31.88 42.46
"41" 13.15 26.89 35.86 39.73
"42" 12.12 22.85 32.51 41.92
"43" 11.75 24 33.25 40.59
"44" 13.92 27.41 35.14 41.3
"45" 14.77 26.27 35.53 42.5
"46" 13.26 24.36 35.17 40.34
"47" 14.26 25.81 34.02 41.11
"48" 13.22 24.78 34.34 40.43
"49" 12.43 21.92 27.14 31.57
"50" 13.5 21.35 26.74 31.67
"51" 14.23 24.98 34.15 37.83
"52" 11.74 24.8 31.99 38.39
"53" 13.81 25.79 32.76 37.27
